partner_id,partner_name,partner_code,institution_type,state,district,matched_entity_id,matched_entity_name,match_level,confidence,match_reason
61cb0b78-2ff9-45d2-9453-04be897ec89e,Uttarakhand Uttarakhand Bahu-udeshiya Vitta Janjati Directorate,SCA-7D797F19,STATE_CHANNELIZING_AGENCY,,,112b2a21-3b0a-46cb-a981-7e23eb3729a6,Uttarakhand Bahu-uddeshiya Vitta Evam Vikas Nigam,MATCH_LEVEL_4,0.88,Official alias match 'Uttarakhand Uttarakhand Bahu-udeshiya Vitta Janjati Directorate' -> Uttarakhand Bahu-uddeshiya Vitta Evam Vikas Nigam (Source: UK_GOVERNMENT_DIRECTORY)
98346956-4962-402c-b788-300f75c71dd2,Uttar Pradesh UP Sahkari Gram Vikas Bank 10,SCA-01675A83,STATE_CHANNELIZING_AGENCY,,,58a268dc-7517-4d78-9bdf-29a1cbafa512,Uttar Pradesh Sahkari Gram Vikas Bank,MATCH_LEVEL_4,0.88,Official alias match 'UP Sahkari Gram Vikas Bank 10' -> Uttar Pradesh Sahkari Gram Vikas Bank (Source: UP_GOVERNMENT_DIRECTORY)
3b1305ce-89dc-480b-a129-358964ccf9f5,Uttar Pradesh UP Scheduled Castes Finance & B-912,SCA-64834232,STATE_CHANNELIZING_AGENCY,,,54123504-9d7d-4d75-9bc3-667de7c51219,Uttar Pradesh Scheduled Caste Finance and Development Corporation (UPSCFDC),MATCH_LEVEL_4,0.88,Official alias match 'Uttar Pradesh UP Scheduled Castes Finance & B-912' -> Uttar Pradesh Scheduled Caste Finance and Development Corporation (UPSCFDC) (Source: UP_GOVERNMENT_DIRECTORY)
f2c9e004-271c-4e0e-92a1-52c816fd2a14,West Bengal West Bengal SCs,SCA-DA2D53FC,STATE_CHANNELIZING_AGENCY,,,bb991e64-3ec3-4e80-b76b-0df87ed616dc,"West Bengal SC, ST & OBC Development & Finance Corporation",MATCH_LEVEL_4,0.88,"Official alias match 'West Bengal West Bengal SCs' -> West Bengal SC, ST & OBC Development & Finance Corporation (Source: WB_GOVERNMENT_DIRECTORY)"
87abb5d7-3ef5-4af8-b24e-0f53e22754ec,Indian Overseas Bank,PSB-41EBA542,PUBLIC_SECTOR_BANK,,,32c1fbfb-0e6f-4dae-842b-901a230ad7cc,Indian Overseas Bank,MATCH_LEVEL_2,0.98,Exact canonical name match: Indian Overseas Bank
5c244074-8ce0-4515-b50e-135c930bd688,Bank of Baroda,PSB-E0999296,PUBLIC_SECTOR_BANK,,,0c6e500b-3339-4ac4-b3e5-e912298ef915,Bank of Baroda,MATCH_LEVEL_2,0.98,Exact canonical name match: Bank of Baroda
2790fa95-688e-400f-a3d4-58f7a2225bee,Canara Bank,PSB-D4E0AC13,PUBLIC_SECTOR_BANK,,,5a22ac6a-d382-4b44-9789-6026960971af,Canara Bank,MATCH_LEVEL_2,0.98,Exact canonical name match: Canara Bank
7dece241-4db8-48de-9be3-5719921ebbf0,Punjab National Bank,PSB-1A97BC65,PUBLIC_SECTOR_BANK,,,8343702e-7c86-4099-b951-4d8d7bceb7d2,Punjab National Bank,MATCH_LEVEL_2,0.98,Exact canonical name match: Punjab National Bank
ec68f3e7-43c5-4345-95a1-9e9cae1c08d9,Punjab & Sind Bank,PSB-0FBED418,PUBLIC_SECTOR_BANK,,,f040c1c2-c06d-4cab-afd6-92f60c289375,Punjab & Sind Bank,MATCH_LEVEL_2,0.98,Exact canonical name match: Punjab & Sind Bank
498e27ae-2629-45bd-b50d-d44c27615b09,Union Bank of India,PSB-80953BA7,PUBLIC_SECTOR_BANK,,,a391f106-5058-4b61-b176-815358c50062,Union Bank of India,MATCH_LEVEL_2,0.98,Exact canonical name match: Union Bank of India
4c178627-5223-433c-8a2f-718c8b8e4620,th Floor,PSB-0DFDD477,PUBLIC_SECTOR_BANK,,,,,UNMATCHED,0.0,No verified statutory entity could be matched with confidence >= 0.70 for 'th Floor'
