partner_id,partner_name,scheme_id,service_type,authorization_level,source_url,verification_status
67dbdc37-f939-41a5-8a62-e8a38a5fc4c6,Punjab Punjab Scheduled Castes Land SCO No.101-102-103,SIH26092-055,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_164458_Ip6UJm.pdf,VERIFIED_OFFICIAL
67dbdc37-f939-41a5-8a62-e8a38a5fc4c6,Punjab Punjab Scheduled Castes Land SCO No.101-102-103,SIH26092-056,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_164458_Ip6UJm.pdf,VERIFIED_OFFICIAL
67f7f12b-bd81-4bb5-9622-0eb33b3d4728,Andhra Pradesh Andhra Pradesh State Financial APSFC Building,SIH26092-010,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_164458_Ip6UJm.pdf,VERIFIED_OFFICIAL
67f7f12b-bd81-4bb5-9622-0eb33b3d4728,Andhra Pradesh Andhra Pradesh State Financial APSFC Building,SIH26092-053,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_164458_Ip6UJm.pdf,VERIFIED_OFFICIAL
67f7f12b-bd81-4bb5-9622-0eb33b3d4728,Andhra Pradesh Andhra Pradesh State Financial APSFC Building,SIH26092-054,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_164458_Ip6UJm.pdf,VERIFIED_OFFICIAL
67f7f12b-bd81-4bb5-9622-0eb33b3d4728,Andhra Pradesh Andhra Pradesh State Financial APSFC Building,SIH26092-055,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_164458_Ip6UJm.pdf,VERIFIED_OFFICIAL
67f7f12b-bd81-4bb5-9622-0eb33b3d4728,Andhra Pradesh Andhra Pradesh State Financial APSFC Building,SIH26092-056,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_164458_Ip6UJm.pdf,VERIFIED_OFFICIAL
685d60bd-a6f8-49c2-8809-17a261eea094,Central bank Of India,SIH26092-001,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260408_100623_Bea3za.pdf,VERIFIED_OFFICIAL
685d60bd-a6f8-49c2-8809-17a261eea094,Central bank Of India,SIH26092-002,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260408_100623_Bea3za.pdf,VERIFIED_OFFICIAL
685d60bd-a6f8-49c2-8809-17a261eea094,Central bank Of India,SIH26092-003,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260408_100623_Bea3za.pdf,VERIFIED_OFFICIAL
685d60bd-a6f8-49c2-8809-17a261eea094,Central bank Of India,SIH26092-053,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260408_100623_Bea3za.pdf,VERIFIED_OFFICIAL
685d60bd-a6f8-49c2-8809-17a261eea094,Central bank Of India,SIH26092-055,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260408_100623_Bea3za.pdf,VERIFIED_OFFICIAL
685d60bd-a6f8-49c2-8809-17a261eea094,Central bank Of India,SIH26092-056,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260408_100623_Bea3za.pdf,VERIFIED_OFFICIAL
6b8dc71e-28b2-47a6-8b9e-02a4c3bc94d7,Rajendra Place,SIH26092-001,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260408_100623_Bea3za.pdf,VERIFIED_OFFICIAL
6b8dc71e-28b2-47a6-8b9e-02a4c3bc94d7,Rajendra Place,SIH26092-002,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260408_100623_Bea3za.pdf,VERIFIED_OFFICIAL
6b8dc71e-28b2-47a6-8b9e-02a4c3bc94d7,Rajendra Place,SIH26092-003,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260408_100623_Bea3za.pdf,VERIFIED_OFFICIAL
6b8dc71e-28b2-47a6-8b9e-02a4c3bc94d7,Rajendra Place,SIH26092-053,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260408_100623_Bea3za.pdf,VERIFIED_OFFICIAL
6b8dc71e-28b2-47a6-8b9e-02a4c3bc94d7,Rajendra Place,SIH26092-055,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260408_100623_Bea3za.pdf,VERIFIED_OFFICIAL
6b8dc71e-28b2-47a6-8b9e-02a4c3bc94d7,Rajendra Place,SIH26092-056,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260408_100623_Bea3za.pdf,VERIFIED_OFFICIAL
6f013d2e-1fe3-44e9-ae93-085861469e37,Assam Gramin Bank,SIH26092-001,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_163145_9tiTZM.pdf,VERIFIED_OFFICIAL
6f013d2e-1fe3-44e9-ae93-085861469e37,Assam Gramin Bank,SIH26092-002,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_163145_9tiTZM.pdf,VERIFIED_OFFICIAL
6f013d2e-1fe3-44e9-ae93-085861469e37,Assam Gramin Bank,SIH26092-052,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_163145_9tiTZM.pdf,VERIFIED_OFFICIAL
6f013d2e-1fe3-44e9-ae93-085861469e37,Assam Gramin Bank,SIH26092-053,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_163145_9tiTZM.pdf,VERIFIED_OFFICIAL
6f013d2e-1fe3-44e9-ae93-085861469e37,Assam Gramin Bank,SIH26092-055,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_163145_9tiTZM.pdf,VERIFIED_OFFICIAL
6f90ae66-6b82-49eb-841f-673d8d6b16f5,Bihar Bihar State SCs Co-operative RN-212,SIH26092-010,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_164458_Ip6UJm.pdf,VERIFIED_OFFICIAL
6f90ae66-6b82-49eb-841f-673d8d6b16f5,Bihar Bihar State SCs Co-operative RN-212,SIH26092-053,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_164458_Ip6UJm.pdf,VERIFIED_OFFICIAL
6f90ae66-6b82-49eb-841f-673d8d6b16f5,Bihar Bihar State SCs Co-operative RN-212,SIH26092-054,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_164458_Ip6UJm.pdf,VERIFIED_OFFICIAL
6f90ae66-6b82-49eb-841f-673d8d6b16f5,Bihar Bihar State SCs Co-operative RN-212,SIH26092-055,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_164458_Ip6UJm.pdf,VERIFIED_OFFICIAL
6f90ae66-6b82-49eb-841f-673d8d6b16f5,Bihar Bihar State SCs Co-operative RN-212,SIH26092-056,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_164458_Ip6UJm.pdf,VERIFIED_OFFICIAL
7021766c-5197-48e4-86bc-492114f27ff7,Rajasthan Rajasthan SCs & STs Fin. & III Floor,SIH26092-010,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_164458_Ip6UJm.pdf,VERIFIED_OFFICIAL
7021766c-5197-48e4-86bc-492114f27ff7,Rajasthan Rajasthan SCs & STs Fin. & III Floor,SIH26092-053,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_164458_Ip6UJm.pdf,VERIFIED_OFFICIAL
7021766c-5197-48e4-86bc-492114f27ff7,Rajasthan Rajasthan SCs & STs Fin. & III Floor,SIH26092-054,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_164458_Ip6UJm.pdf,VERIFIED_OFFICIAL
7021766c-5197-48e4-86bc-492114f27ff7,Rajasthan Rajasthan SCs & STs Fin. & III Floor,SIH26092-055,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_164458_Ip6UJm.pdf,VERIFIED_OFFICIAL
7021766c-5197-48e4-86bc-492114f27ff7,Rajasthan Rajasthan SCs & STs Fin. & III Floor,SIH26092-056,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_164458_Ip6UJm.pdf,VERIFIED_OFFICIAL
770c5734-6c1a-4bbb-8f19-8514566ca5d3,Haryana Haryana SCs Fin. and SCO-2427-28,SIH26092-010,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_164458_Ip6UJm.pdf,VERIFIED_OFFICIAL
770c5734-6c1a-4bbb-8f19-8514566ca5d3,Haryana Haryana SCs Fin. and SCO-2427-28,SIH26092-053,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_164458_Ip6UJm.pdf,VERIFIED_OFFICIAL
770c5734-6c1a-4bbb-8f19-8514566ca5d3,Haryana Haryana SCs Fin. and SCO-2427-28,SIH26092-054,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_164458_Ip6UJm.pdf,VERIFIED_OFFICIAL
770c5734-6c1a-4bbb-8f19-8514566ca5d3,Haryana Haryana SCs Fin. and SCO-2427-28,SIH26092-055,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_164458_Ip6UJm.pdf,VERIFIED_OFFICIAL
770c5734-6c1a-4bbb-8f19-8514566ca5d3,Haryana Haryana SCs Fin. and SCO-2427-28,SIH26092-056,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_164458_Ip6UJm.pdf,VERIFIED_OFFICIAL
7db7745d-c7ef-4a6a-b974-37cf81e3dcb0,Manipur Manipur Tribal Development Lamphelpat,SIH26092-010,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_164458_Ip6UJm.pdf,VERIFIED_OFFICIAL
