partner_id,partner_name,institution_type,partner_category,source_url,source_type,verification_date,verified_fields,verification_status
84f21b21-8040-4931-8c45-de280ae929f6,Puducherry Grama Bank,REGIONAL_RURAL_BANK,AUTHORIZED_SCHEME_PARTNER,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_163145_9tiTZM.pdf,LIST OF REGIONAL RURAL BANKS,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
8614d134-c945-455f-a10f-52faaf4528d6,Goa Goa State SCs & OBCs Finance 4th Floor,STATE_CHANNELIZING_AGENCY,AUTHORIZED_SCHEME_PARTNER,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_164458_Ip6UJm.pdf,STATE/UT-WISE LIST OF STATE CHANNELISING AGENCIES,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
86999842-c677-4406-a501-48eb9e76fabd,Streenidhi AP,FINANCIAL_INSTITUTION,NEARBY_FINANCIAL_SERVICE_POINT,https://nsfdc.nic.in/storage/uploads/images/banners/20260408_101711_6Iyved.pdf,COOPERATIVE_SOCIETY,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
86c52401-df0c-4361-8cff-e658db2a9c86,Grameen Development & Finance Regd.Office: ‘Sahyadri Building” Private Limited,MICRO_FINANCE_INSTITUTION,NEARBY_FINANCIAL_SERVICE_POINT,https://nsfdc.nic.in/storage/channel-partners/attachments/20251223_101231_7smjJC.pdf,LIST OF NBFC-MFIs,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
87abb5d7-3ef5-4af8-b24e-0f53e22754ec,Indian Overseas Bank,PUBLIC_SECTOR_BANK,AUTHORIZED_SCHEME_PARTNER,https://nsfdc.nic.in/storage/channel-partners/attachments/20260408_100623_Bea3za.pdf,PSB,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
8c1e52d8-4794-4a67-bbe8-5491be1dba65,Manipur Manipur SCs & STs Co- Nambun Long,STATE_CHANNELIZING_AGENCY,AUTHORIZED_SCHEME_PARTNER,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_164458_Ip6UJm.pdf,SCA,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
915f2d22-33f0-40ed-bdb3-e21b865d3fed,Shri Mahila Sewa Sahakari Bank Ltd,FINANCIAL_INSTITUTION,NEARBY_FINANCIAL_SERVICE_POINT,https://nsfdc.nic.in/storage/channel-partners/attachments/20251223_101341_Zcm8s6.pdf,LIST OF COOPERATIVE SOCIETIES/BANKS,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
92aadc27-8e04-4a69-93dc-f4757630c217,Mizoram Mizoram Urban Cooperative Lawlsawmiliani Building (Top Development Bank,STATE_CHANNELIZING_AGENCY,AUTHORIZED_SCHEME_PARTNER,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_164458_Ip6UJm.pdf,STATE/UT-WISE LIST OF STATE CHANNELISING AGENCIES,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
9381f6c7-d2d8-435e-a320-731879b5590e,Complex,REGIONAL_RURAL_BANK,AUTHORIZED_SCHEME_PARTNER,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_163145_9tiTZM.pdf,RRB,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
96fb9e7c-25b5-4b25-b204-e110f2787963,Puducherry Puducherry Adi Dravidar Dev. III Floor,STATE_CHANNELIZING_AGENCY,AUTHORIZED_SCHEME_PARTNER,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_164458_Ip6UJm.pdf,SCA,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
